basket_id,sample_type,close_reason,final_pl,entry_rows,hedge_rows,close_rows,max_concurrent_positions,leg_pl_sum,gross_leg_abs_sum,gross_to_net_ratio,margin_at_hs_min,margin_at_hedge_min,open_time_gate
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0092,in6run,BasketClose,409.00,1,0,1,1,409,409,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0093,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0094,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0095,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0096,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0097,in6run,HardStop,-9019.00,1,0,1,1,-9019,9019,1.00,12111.7,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0098,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0099,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0100,in6run,HardStop,-8520.00,0,1,2,2,-8520,40912,4.80,NA,11819.3,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0101,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0102,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
